"text","SVM_LABEL","SVM_PROB","original_text","lon","lat","state"
"rt june aviat speaker will oscar munoz ceo reserv seat today tco blsgfgtdzm travel e","2",0.770580369582122,"RT @TheWingsClub: June's #aviation speaker will be Oscar Munoz, CEO, @united Reserve your seat today at https://t.co/blsgFGtDzM  #travel #a<U+2026>",-74.0059413,40.7127837,"new york"
"rt june aviat speaker will oscar munoz ceo reserv seat today tco blsgfgtdzm travel e","2",0.770580369582122,"RT @TheWingsClub: June's #aviation speaker will be Oscar Munoz, CEO, @united Reserve your seat today at https://t.co/blsgFGtDzM  #travel #a<U+2026>",-74.0059413,40.7127837,"new york"
"rt june aviat speaker will oscar munoz ceo reserv seat today tco blsgfgtdzm travel e","2",0.770580369582122,"RT @TheWingsClub: June's #aviation speaker will be Oscar Munoz, CEO, @united Reserve your seat today at https://t.co/blsgFGtDzM  #travel #a<U+2026>",-74.0059413,40.7127837,"new york"
"rt rememb though better nope homophob lgbtq parent southwest edbdedbedbcedbfbc tcoe","2",0.89710549828976,"RT @elnortej: Remember when we though @SouthwestAir was better than @united? NOPE! #Homophobic #lgbtq #parenting #Southwest <ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>
https://t.co<U+2026>",NA,NA,NA
"rt rememb though better nope homophob lgbtq parent southwest edbdedbedbcedbfbc tcoe","2",0.89710549828976,"RT @elnortej: Remember when we though @SouthwestAir was better than @united? NOPE! #Homophobic #lgbtq #parenting #Southwest <ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>
https://t.co<U+2026>",NA,NA,NA
"hey flight delay come go good job unitedairlin tco nsumvtnsz","2",0.729625224426445,"Hey @united my flight was delayed coming and going!  Good job! #unitedairlines https://t.co/N0sUMVTnSZ",-74.4056612,40.0583238,"new jersey"
"feel like unit airlin screw bought tix expediaampreceiv email say basic econ carri reg bag","1",0.977021528757664,"Feels like United Airlines screwed me. Bought tix on Expedia&amp;Received email from @united saying it's Basic Econ and I can't carry on reg bag",-74.0329499,40.6261638,"new york"
"rt crazi line delay flight lack laptop now bang courtsey airport psychologist e","1",0.994677371179086,"RT @sachin_panjwani: between crazy lines, delayed flights, lack of laptops,  and now banged up courtsey @united - in airport psychologist i<U+2026>",NA,NA,NA
"flight nola delay info updat terribl custom servic","1",0.984179119723856,"@united flight 673 out if NOLA delayed no info no updates. Terrible customer service.",-74.0059413,40.7127837,"new york"
"hey waddya say mani basic economi passeng fuck today unitedvsunit","1",0.949271486019589,"Hey @united waddya say? How many Basic Economy passengers did you fuck over today? #UnitedVsUnited",-73.9441579,40.6781784,"new york"
"rememb though better nope homophob lgbtq parent southwest edbdedbedbcedbfbc tco fameeyltl","2",0.922138034052083,"Remember when we though @SouthwestAir was better than @united? NOPE! #Homophobic #lgbtq #parenting #Southwest <ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>
https://t.co/fAmeEyl2Tl",-74.0059413,40.7127837,"new york"
"interest nasti weather approach nyc issu waiver","2",0.604387694148257,"Interesting... With nasty weather approaching #NYC, @Delta and @AmericanAir have issued waivers for 5/25, but @united and @JetBlue have not.",-74.0059413,40.7127837,"new york"
"happen perform mainten passeng wait know competit go back regular mainten","1",0.997213871090764,"This is what happens when @united performs maintenance while passengers wait.I know it's competitive but go back to regular maintenance.",-74.4056612,40.0583238,"new jersey"
"worst","1",0.937013671210291,".@united is the worst",-74.0059413,40.7127837,"new york"
"rt spell fuck custom unt basic economi phoni advertis price jack gate","1",0.91365062139741,"RT @SherryTalksBack: .@united How do you spell Fuck the Customer? U-N-I-T-E-D Basic Economy = phony advertised prices jacked up at the gate!",NA,NA,NA
"spell fuck custom unt basic economi phoni advertis price jack gate","1",0.91365062139741,".@united How do you spell Fuck the Customer? U-N-I-T-E-D Basic Economy = phony advertised prices jacked up at the gate!",-73.9441579,40.6781784,"new york"
